,CTDC_hydrophobicity_PRAM900101.G1,CTDC_hydrophobicity_PRAM900101.G2,CTDC_hydrophobicity_PRAM900101.G3,CTDC_hydrophobicity_ARGP820101.G1,CTDC_hydrophobicity_ARGP820101.G2,CTDC_hydrophobicity_ARGP820101.G3,CTDC_hydrophobicity_ZIMJ680101.G1,CTDC_hydrophobicity_ZIMJ680101.G2,CTDC_hydrophobicity_ZIMJ680101.G3,CTDC_hydrophobicity_PONP930101.G1,CTDC_hydrophobicity_PONP930101.G2,CTDC_hydrophobicity_PONP930101.G3,CTDC_hydrophobicity_CASG920101.G1,CTDC_hydrophobicity_CASG920101.G2,CTDC_hydrophobicity_CASG920101.G3,CTDC_hydrophobicity_ENGD860101.G1,CTDC_hydrophobicity_ENGD860101.G2,CTDC_hydrophobicity_ENGD860101.G3,CTDC_hydrophobicity_FASG890101.G1,CTDC_hydrophobicity_FASG890101.G2,CTDC_hydrophobicity_FASG890101.G3,CTDC_normwaalsvolume.G1,CTDC_normwaalsvolume.G2,CTDC_normwaalsvolume.G3,CTDC_polarity.G1,CTDC_polarity.G2,CTDC_polarity.G3,CTDC_polarizability.G1,CTDC_polarizability.G2,CTDC_polarizability.G3,CTDC_charge.G1,CTDC_charge.G2,CTDC_charge.G3,CTDC_secondarystruct.G1,CTDC_secondarystruct.G2,CTDC_secondarystruct.G3,CTDC_solventaccess.G1,CTDC_solventaccess.G2,CTDC_solventaccess.G3
P-0018,0.2,0.4,0.4,0.4,0.4,0.19999999999999996,0.6,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.19999999999999996,0.2,0.4,0.4,0.2,0.2,0.6000000000000001,0.4,0.6,0.0,0.4,0.4,0.19999999999999996,0.4,0.6,0.0,0.0,1.0,0.0,0.4,0.4,0.19999999999999996,0.8,0.2,-5.551115123125783e-17
P-0020,0.6,0.4,0.0,0.6,0.4,0.0,1.0,0.0,0.0,0.6,0.4,0.0,0.8,0.2,-5.551115123125783e-17,0.6,0.4,0.0,0.6,0.2,0.2,0.6,0.2,0.2,0.0,0.4,0.6,0.6,0.2,0.2,0.2,0.6,0.20000000000000007,0.4,0.0,0.6,0.2,0.6,0.20000000000000007
P-0021,0.2,0.4,0.4,0.6,0.2,0.2,0.6,0.2,0.2,0.6,0.0,0.4,0.6,0.2,0.2,0.2,0.4,0.4,0.6,0.0,0.4,0.4,0.4,0.19999999999999996,0.4,0.4,0.19999999999999996,0.4,0.4,0.19999999999999996,0.0,0.8,0.19999999999999996,0.2,0.4,0.4,0.4,0.2,0.39999999999999997
P-0022,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,1.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,-2.7755575615628914e-17,0.0,0.8333333333333334,0.16666666666666663,0.8333333333333334,0.16666666666666666,-2.7755575615628914e-17,0.0,1.0,0.0,1.0,0.0,0.0,0.8333333333333334,0.16666666666666666,-2.7755575615628914e-17
P-0024,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.0,0.33333333333333337,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.5,0.33333333333333337,0.16666666666666666,0.0,0.8333333333333334,0.5,0.16666666666666666,0.33333333333333337,0.5,0.3333333333333333,0.16666666666666669,0.5,0.16666666666666666,0.33333333333333337,0.0,0.8333333333333334,0.16666666666666663,0.3333333333333333,0.5,0.16666666666666674,0.8333333333333334,0.16666666666666666,-2.7755575615628914e-17
P-0025,0.0,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.8333333333333334,0.0,0.16666666666666663,0.0,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.0,0.8333333333333334,0.16666666666666663,0.0,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.16666666666666666,0.1666666666666667,0.3333333333333333,0.6666666666666666,1.1102230246251565e-16,0.6666666666666666,0.16666666666666666,0.1666666666666667,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333334,1.0,0.0,0.0
P-0026,0.16666666666666666,0.5,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.6666666666666666,0.0,0.33333333333333337,0.16666666666666666,0.5,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.16666666666666666,0.5,0.33333333333333337,0.16666666666666666,0.16666666666666666,0.6666666666666667,0.5,0.5,0.0,0.3333333333333333,0.5,0.16666666666666674,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.3333333333333333,0.16666666666666669,0.8333333333333334,0.16666666666666666,-2.7755575615628914e-17
P-0027,0.16666666666666666,0.6666666666666666,0.16666666666666674,0.5,0.3333333333333333,0.16666666666666669,0.8333333333333334,0.0,0.16666666666666663,0.5,0.3333333333333333,0.16666666666666669,0.5,0.5,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666674,0.5,0.0,0.5,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.16666666666666666,0.6666666666666666,0.16666666666666674,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.0,1.0,0.0,0.6666666666666666,0.0,0.33333333333333337,0.5,0.16666666666666666,0.33333333333333337
P-0028,0.3333333333333333,0.6666666666666666,1.1102230246251565e-16,0.0,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.6666666666666666,0.0,0.33333333333333337,0.0,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.6666666666666666,1.1102230246251565e-16,0.6666666666666666,0.0,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333334
P-0029,0.16666666666666666,0.6666666666666666,0.16666666666666674,0.16666666666666666,0.6666666666666666,0.16666666666666674,0.8333333333333334,0.0,0.16666666666666663,0.16666666666666666,0.6666666666666666,0.16666666666666674,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666674,0.16666666666666666,0.0,0.8333333333333334,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.16666666666666666,0.6666666666666666,0.16666666666666674,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.0,1.0,0.0,1.0,0.0,0.0,0.8333333333333334,0.16666666666666666,-2.7755575615628914e-17
P-0031,0.0,0.6666666666666666,0.33333333333333337,0.16666666666666666,0.6666666666666666,0.16666666666666674,0.5,0.3333333333333333,0.16666666666666669,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.5,0.33333333333333337,0.0,0.16666666666666666,0.8333333333333334,0.5,0.3333333333333333,0.16666666666666669,0.5,0.5,0.0,0.5,0.3333333333333333,0.16666666666666669,0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,1.1102230246251565e-16,0.6666666666666666,0.0,0.33333333333333337
P-0032,0.3333333333333333,0.5,0.16666666666666674,0.5,0.5,0.0,0.8333333333333334,0.16666666666666666,-2.7755575615628914e-17,0.5,0.3333333333333333,0.16666666666666669,0.5,0.5,0.0,0.3333333333333333,0.5,0.16666666666666674,0.3333333333333333,0.16666666666666666,0.5000000000000001,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.16666666666666666,0.5,0.33333333333333337,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.0,0.8333333333333334,0.16666666666666663,0.5,0.3333333333333333,0.16666666666666669,0.5,0.3333333333333333,0.16666666666666669
P-0033,0.0,0.5,0.5,0.3333333333333333,0.5,0.16666666666666674,0.5,0.3333333333333333,0.16666666666666669,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.0,0.5,0.5,0.0,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.5,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.16666666666666666,0.5,0.33333333333333337,1.0,0.0,0.0
P-0034,0.3333333333333333,0.5,0.16666666666666674,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.8333333333333334,0.16666666666666666,-2.7755575615628914e-17,0.3333333333333333,0.5,0.16666666666666674,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.3333333333333333,0.5,0.16666666666666674,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.16666666666666666,0.5,0.33333333333333337,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.0,0.8333333333333334,0.16666666666666663,0.3333333333333333,0.16666666666666666,0.5000000000000001,0.6666666666666666,0.3333333333333333,5.551115123125783e-17
P-0035,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,0.3333333333333333,0.16666666666666669,0.6666666666666666,0.16666666666666666,0.1666666666666667,0.5,0.16666666666666666,0.33333333333333337,0.5,0.3333333333333333,0.16666666666666669,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,0.0,0.5,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,0.5,0.0,0.0,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,0.3333333333333333,0.16666666666666669
P-0038,0.5,0.5,0.0,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.8333333333333334,0.16666666666666666,-2.7755575615628914e-17,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.8333333333333334,0.16666666666666666,-2.7755575615628914e-17,0.5,0.5,0.0,0.5,0.3333333333333333,0.16666666666666669,0.5,0.3333333333333333,0.16666666666666669,0.0,0.5,0.5,0.5,0.3333333333333333,0.16666666666666669,0.16666666666666666,0.6666666666666666,0.16666666666666674,0.5,0.0,0.5,0.3333333333333333,0.5,0.16666666666666674
P-0039,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.5,0.5,0.0,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.8333333333333334,0.16666666666666666,-2.7755575615628914e-17,0.8333333333333334,0.16666666666666666,-2.7755575615628914e-17,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.8333333333333334,0.0,0.16666666666666663,0.5,0.16666666666666666,0.33333333333333337,0.0,0.3333333333333333,0.6666666666666667,0.5,0.16666666666666666,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.6666666666666666,0.0,0.33333333333333337,0.16666666666666666,0.6666666666666666,0.16666666666666674
P-0040,0.5,0.5,0.0,0.5,0.3333333333333333,0.16666666666666669,0.6666666666666666,0.16666666666666666,0.1666666666666667,0.8333333333333334,0.16666666666666666,-2.7755575615628914e-17,0.8333333333333334,0.16666666666666666,-2.7755575615628914e-17,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.5,0.3333333333333333,0.16666666666666669,0.5,0.3333333333333333,0.16666666666666669,0.0,0.5,0.5,0.3333333333333333,0.5,0.16666666666666674,0.16666666666666666,0.5,0.33333333333333337,0.6666666666666666,0.16666666666666666,0.1666666666666667,0.16666666666666666,0.5,0.33333333333333337
P-0042,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.5,0.16666666666666674,0.5,0.3333333333333333,0.16666666666666669,0.3333333333333333,0.16666666666666666,0.5000000000000001,0.3333333333333333,0.5,0.16666666666666674,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.6666666666666667,0.3333333333333333,0.5,0.16666666666666674,0.5,0.3333333333333333,0.16666666666666669,0.3333333333333333,0.5,0.16666666666666674,0.0,0.8333333333333334,0.16666666666666663,0.3333333333333333,0.6666666666666666,1.1102230246251565e-16,0.6666666666666666,0.16666666666666666,0.1666666666666667
P-0043,0.16666666666666666,0.5,0.33333333333333337,0.3333333333333333,0.16666666666666666,0.5000000000000001,0.5,0.0,0.5,0.5,0.16666666666666666,0.33333333333333337,0.5,0.16666666666666666,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.16666666666666666,0.3333333333333333,0.5,0.5,0.3333333333333333,0.16666666666666669,0.3333333333333333,0.5,0.16666666666666674,0.3333333333333333,0.5,0.16666666666666674,0.0,1.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0.5,0.16666666666666666,0.33333333333333337
P-0044,0.3333333333333333,0.5,0.16666666666666674,0.5,0.16666666666666666,0.33333333333333337,0.6666666666666666,0.0,0.33333333333333337,0.5,0.3333333333333333,0.16666666666666669,0.6666666666666666,0.16666666666666666,0.1666666666666667,0.5,0.3333333333333333,0.16666666666666669,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,0.3333333333333333,0.16666666666666669,0.16666666666666666,0.5,0.33333333333333337,0.3333333333333333,0.5,0.16666666666666674,0.0,1.0,0.0,0.5,0.16666666666666666,0.33333333333333337,0.5,0.3333333333333333,0.16666666666666669
P-0045,0.16666666666666666,0.8333333333333334,0.0,0.5,0.16666666666666666,0.33333333333333337,0.6666666666666666,0.0,0.33333333333333337,0.16666666666666666,0.5,0.33333333333333337,0.5,0.5,0.0,0.5,0.5,0.0,0.16666666666666666,0.3333333333333333,0.5,0.5,0.16666666666666666,0.33333333333333337,0.3333333333333333,0.5,0.16666666666666674,0.5,0.16666666666666666,0.33333333333333337,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,0.16666666666666666,0.33333333333333337
P-0046,0.0,1.0,0.0,0.8333333333333334,0.16666666666666666,-2.7755575615628914e-17,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.1102230246251565e-16,0.8333333333333334,0.16666666666666666,-2.7755575615628914e-17,0.0,1.0,0.0,0.3333333333333333,0.5,0.16666666666666674,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.6666666666666666,0.0,0.33333333333333337
P-0047,0.16666666666666666,0.5,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,0.16666666666666666,0.33333333333333337,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.5,0.16666666666666674,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.0,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,0.3333333333333333,0.16666666666666669,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.0,1.0,0.0,0.16666666666666666,0.5,0.33333333333333337,0.6666666666666666,0.16666666666666666,0.1666666666666667
P-0048,0.5,0.5,0.0,0.6666666666666666,0.16666666666666666,0.1666666666666667,0.8333333333333334,0.0,0.16666666666666663,0.5,0.3333333333333333,0.16666666666666669,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.5,0.16666666666666666,0.33333333333333337,0.3333333333333333,0.5,0.16666666666666674,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.5,0.16666666666666674,0.0,1.0,0.0,0.6666666666666666,0.16666666666666666,0.1666666666666667,0.3333333333333333,0.5,0.16666666666666674
P-0049,0.3333333333333333,0.16666666666666666,0.5000000000000001,0.3333333333333333,0.16666666666666666,0.5000000000000001,0.6666666666666666,0.0,0.33333333333333337,0.3333333333333333,0.16666666666666666,0.5000000000000001,0.3333333333333333,0.16666666666666666,0.5000000000000001,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.0,0.6666666666666667,0.5,0.16666666666666666,0.33333333333333337,0.5,0.16666666666666666,0.33333333333333337,0.5,0.16666666666666666,0.33333333333333337,0.0,0.6666666666666666,0.33333333333333337,0.16666666666666666,0.5,0.33333333333333337,0.6666666666666666,0.3333333333333333,5.551115123125783e-17
P-0050,0.0,0.6666666666666666,0.33333333333333337,0.5,0.16666666666666666,0.33333333333333337,0.8333333333333334,0.0,0.16666666666666663,0.16666666666666666,0.5,0.33333333333333337,0.5,0.16666666666666666,0.33333333333333337,0.0,0.8333333333333334,0.16666666666666663,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.16666666666666666,0.1666666666666667,0.3333333333333333,0.6666666666666666,1.1102230246251565e-16,0.6666666666666666,0.16666666666666666,0.1666666666666667,0.0,1.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0.8333333333333334,0.0,0.16666666666666663
P-0051,0.0,0.3333333333333333,0.6666666666666667,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,0.5000000000000001,0.0,0.3333333333333333,0.6666666666666667,0.16666666666666666,0.5,0.33333333333333337,0.0,0.3333333333333333,0.6666666666666667,0.0,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.5,0.16666666666666674,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.3333333333333333,0.5,0.16666666666666674,0.0,1.0,0.0,0.5,0.3333333333333333,0.16666666666666669,0.8333333333333334,0.0,0.16666666666666663
P-0052,0.0,0.6666666666666666,0.33333333333333337,0.5,0.16666666666666666,0.33333333333333337,0.6666666666666666,0.0,0.33333333333333337,0.5,0.16666666666666666,0.33333333333333337,0.5,0.3333333333333333,0.16666666666666669,0.0,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.16666666666666666,0.5000000000000001,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.3333333333333333,0.6666666666666666,1.1102230246251565e-16,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.5,0.0,0.5
P-0054,0.5,0.3333333333333333,0.16666666666666669,0.6666666666666666,0.16666666666666666,0.1666666666666667,0.8333333333333334,0.0,0.16666666666666663,0.6666666666666666,0.16666666666666666,0.1666666666666667,0.6666666666666666,0.16666666666666666,0.1666666666666667,0.5,0.3333333333333333,0.16666666666666669,0.16666666666666666,0.5,0.33333333333333337,0.3333333333333333,0.6666666666666666,1.1102230246251565e-16,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,1.1102230246251565e-16,0.0,1.0,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666667,0.3333333333333333,0.5,0.16666666666666674
P-0058,0.16666666666666666,0.5,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.6666666666666666,0.0,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.6666666666666666,1.1102230246251565e-16,0.16666666666666666,0.5,0.33333333333333337,0.16666666666666666,0.16666666666666666,0.6666666666666667,0.5,0.5,0.0,0.3333333333333333,0.5,0.16666666666666674,0.5,0.5,0.0,0.0,1.0,0.0,0.8333333333333334,0.16666666666666666,-2.7755575615628914e-17,0.6666666666666666,0.16666666666666666,0.1666666666666667
P-0059,0.3333333333333333,0.5,0.16666666666666674,0.5,0.16666666666666666,0.33333333333333337,0.6666666666666666,0.0,0.33333333333333337,0.5,0.16666666666666666,0.33333333333333337,0.5,0.5,0.0,0.5,0.3333333333333333,0.16666666666666669,0.3333333333333333,0.16666666666666666,0.5000000000000001,0.3333333333333333,0.5,0.16666666666666674,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.3333333333333333,0.5,0.16666666666666674,0.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.3333333333333333,0.3333333333333333,0.3333333333333334
P-0060,0.16666666666666666,0.5,0.33333333333333337,0.5,0.16666666666666666,0.33333333333333337,0.8333333333333334,0.0,0.16666666666666663,0.5,0.16666666666666666,0.33333333333333337,0.5,0.3333333333333333,0.16666666666666669,0.16666666666666666,0.6666666666666666,0.16666666666666674,0.5,0.0,0.5,0.5,0.3333333333333333,0.16666666666666669,0.3333333333333333,0.5,0.16666666666666674,0.5,0.3333333333333333,0.16666666666666669,0.0,1.0,0.0,0.5,0.16666666666666666,0.33333333333333337,0.5,0.16666666666666666,0.33333333333333337
P-0061,0.3333333333333333,0.5,0.16666666666666674,0.5,0.3333333333333333,0.16666666666666669,0.8333333333333334,0.0,0.16666666666666663,0.5,0.3333333333333333,0.16666666666666669,0.5,0.5,0.0,0.3333333333333333,0.5,0.16666666666666674,0.3333333333333333,0.16666666666666666,0.5000000000000001,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.16666666666666666,0.5,0.33333333333333337,0.6666666666666666,0.3333333333333333,5.551115123125783e-17,0.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,0.16666666666666666,0.1666666666666667,0.5,0.3333333333333333,0.16666666666666669
